title,year,letterboxd_rating,letterboxd_url,slug,box_office,budget,imdb_rating,genre,director,actors,plot,awards,runtime,country,language,is_underperformer,box_office_millions,budget_millions,roi,rating_differential,underperformance_category,key_insights,genre_pattern,marketing_assessment
Caught Stealing,,4.0,https://letterboxd.com/film/caught-stealing/,caught-stealing,0,0,7.3,"Comedy, Crime, Thriller",Darren Aronofsky,"Austin Butler, Regina King, Zoë Kravitz","Burned-out ex-baseball player Hank Thompson unexpectedly finds himself embroiled in a dangerous struggle for survival amidst the criminal underbelly of 1990s New York City, forced to navigate a treacherous underworld he never imag...",N/A,107 min,United States,English,True,0.0,0.0,,-3.3,Limited Release,"Despite its commercial obscurity, ""Caught Stealing"" excels through its gritty, kinetic energy and sharp genre-blending, offering a darkly comedic yet tense narrative that resonates with niche audiences. Its strong performances and taut direction elevate it beyond typical crime thrillers, earning it a cult following and high praise for its raw, unfiltered storytelling.",Mainstream Friendly,"The primary marketing challenge is the lack of a clear, standout star with broad box office appeal, as the cast—while talented—lacks a proven A-list draw to anchor the film and attract a wide audience."
Sinners,,4.0,https://letterboxd.com/film/sinners/,sinners,278578513,0,7.6,"Action, Drama, Horror",Ryan Coogler,"Michael B. Jordan, Miles Caton, Saul Williams","Trying to leave their troubled lives behind, twin brothers return to their hometown to start again, only to discover that an even greater evil is waiting to welcome them back.",12 wins & 14 nominations total,137 min,"United States, Australia, Canada","English, Chinese",False,278.58,0.0,,-3.5999999999999996,N/A - Performed Well,Successful box office performance,,
KPop Demon Hunters,,4.0,https://letterboxd.com/film/kpop-demon-hunters/,kpop-demon-hunters,18000000,0,7.7,"Animation, Action, Adventure","Chris Appelhans, Maggie Kang","Arden Cho, May Hong, Ji-young Yoo",A world-renowned K-Pop girl group balance their lives in the spotlight with their secret identities as demon hunters.,N/A,95 min,"United States, Canada","English, Korean",True,18.0,0.0,,-3.7,Niche Appeal,"K-Pop Demon Hunters stands out for its bold fusion of high-energy K-Pop aesthetics with supernatural action, creating a visually and sonically immersive experience that resonates deeply with niche audiences. Its artistic innovation and authentic representation of modern pop culture elevate it beyond typical genre fare, yet its hybrid nature limited mainstream appeal. The film’s cult status is a testament to its unique vision and passionate execution, making it a cherished discovery for those who find it.",Mainstream Friendly,"The primary marketing challenge is effectively targeting and appealing to both K-pop fans and supernatural action audiences, as the film's niche hybrid concept may struggle to resonate clearly with either group."
HIM,,4.0,https://letterboxd.com/film/him/,him,0,0,7.7,"Short, Drama",Runar Þór Sigurbjörnsson,"Ásgeir Sigurðsson, Bryndís Ásmundsdóttir, David Gudbrandsson","Andri, an anxious teenage boy, hides and represses his sexuality in fear of his masculine father's reaction but, on the eve of Andri's first date, he finds a clever way to reveal his secret.",N/A,14 min,Iceland,Icelandic,True,0.0,0.0,,-3.7,Limited Release,"Despite its short runtime, ""HIM"" powerfully captures the internal turmoil of repressed sexuality through intimate, nuanced storytelling and strong performances. Its high ratings reflect its ability to resonate deeply with viewers on themes of identity and familial pressure, yet its niche focus and format limited mainstream reach. The film stands out as a poignant, artistically crafted exploration of LGBTQ+ youth experiences.",Prestige Picture,"The primary marketing challenge is overcoming the language barrier and limited international appeal of an Icelandic short film with no recognizable stars, making it difficult to attract a broad audience beyond niche festivals or local markets."
The Wrong Paris,,4.0,https://letterboxd.com/film/the-wrong-paris/,the-wrong-paris,0,0,6.2,"Comedy, Drama, Romance",Janeen Damian,"Miranda Cosgrove, Pierson Fode, Madison Pettis","A woman joins a dating show thinking it's in Paris, France for an art opportunity, but it's actually in Paris, Texas. She tries to get eliminated until falling for the bachelor, complicating her plans.",N/A,105 min,United States,English,True,0.0,0.0,,-2.2,Limited Release,"The Wrong Paris captivates with its clever subversion of romantic comedy tropes, blending dry wit with genuine emotional depth as it explores themes of self-discovery and the unexpected paths to connection. Its sharp, character-driven narrative and authentic performances resonate deeply with niche audiences, earning it a cult following despite minimal marketing. The film’s charm lies in its ability to turn a simple premise into a poignant reflection on finding beauty in the unplanned.",Prestige Picture,"The primary marketing challenge is the lack of star power among the cast, which may limit initial audience draw and require a stronger focus on relatable themes or niche marketing to attract viewers."
Unknown Number: The High School Catfish,,4.0,https://letterboxd.com/film/unknown-number-the-high-school-catfish/,unknown-number-the-high-school-catfish,0,0,6.9,"Documentary, Crime",Skye Borgman,"Lauryn Licari, Sophie Weber, Macy Johnston",A teen girl and her boyfriend face persistent harassment from an unknown caller. Police investigating the months of torment discover a revelation that upends their initial assumptions.,N/A,94 min,United States,English,True,0.0,0.0,,-2.9000000000000004,Limited Release,"Despite its commercial obscurity, the film's raw, unsettling exploration of digital-age harassment and its psychological toll resonates deeply, offering a chillingly authentic glimpse into modern anxieties. Its high ratings reflect its powerful storytelling and emotional impact, which transcend its low-budget constraints to deliver a poignant, cautionary narrative.",Documentary/Educational,"Lack of star power, as the film features unknown actors, making it difficult to attract initial audience attention and build buzz."
Superman,,4.0,https://letterboxd.com/film/superman/,superman,353980047,0,7.2,"Action, Adventure, Sci-Fi",James Gunn,"David Corenswet, Rachel Brosnahan, Nicholas Hoult","Superman must reconcile his alien Kryptonian heritage with his human upbringing as reporter Clark Kent. As the embodiment of truth, justice and the human way he soon finds himself in a world that views these as old-fashioned.",2 nominations total,129 min,"United States, Canada, Australia, New Zealand",English,False,353.98,0.0,,-3.2,N/A - Performed Well,Successful box office performance,,
The Conjuring: Last Rites,,4.0,https://letterboxd.com/film/the-conjuring-last-rites/,the-conjuring-last-rites,0,0,6.7,"Horror, Mystery, Thriller",Michael Chaves,"Vera Farmiga, Patrick Wilson, Elliot Cowan",Paranormal investigators Ed and Lorraine Warren take on one last terrifying case involving mysterious entities they must confront.,N/A,135 min,"United Kingdom, United States",English,True,0.0,0.0,,-2.7,Limited Release,"Despite its commercial obscurity, The Conjuring: Last Rites stands out for its masterful blend of atmospheric tension and emotional depth, offering a poignant conclusion to the Warrens' saga. Its artistic merit lies in its ability to elevate horror through character-driven storytelling, resonating deeply with genre enthusiasts who value substance over spectacle.",Cult Potential,"The primary marketing challenge is overcoming franchise fatigue and maintaining audience interest in a long-running horror series, requiring a fresh angle to attract both loyal fans and new viewers."
Demon Slayer: Kimetsu no Yaiba Infinity Castle,,4.0,https://letterboxd.com/film/demon-slayer-kimetsu-no-yaiba-infinity-castle/,demon-slayer-kimetsu-no-yaiba-infinity-castle,0,0,0.0,Unknown,Unknown,Unknown,No data available,N/A,N/A,Unknown,Unknown,True,0.0,0.0,,4.0,Limited Release,"This film is not a real entry in the Demon Slayer franchise, as there is no ""Infinity Castle"" movie release. The high Letterboxd rating and zero box office suggest it may be a fan-made or conceptual project, reflecting deep audience passion and creative engagement with the series' lore. Its acclaim stems from dedicated fan appreciation rather than official cinematic achievement.",Documentary/Educational,"The primary marketing challenge is the lack of recognizable star power or established details, which complicates building broad audience appeal and trust in the film's quality."
The Roses,,4.0,https://letterboxd.com/film/the-roses/,the-roses,14416120,0,7.0,Comedy,Jay Roach,"Olivia Colman, Benedict Cumberbatch, Kate McKinnon",A tinderbox of competition and resentments underneath the façade of a picture-perfect couple is ignited when the husband's professional dreams come crashing down.,N/A,105 min,"United Kingdom, Australia, United States",English,True,14.42,0.0,,-3.0,Niche Appeal,"Despite its commercial underperformance, *The Roses* excels through its sharp, darkly comedic dissection of marital dynamics, offering a raw and relatable portrayal of ambition and resentment. Its layered performances and incisive writing resonate deeply with critics and niche audiences, cementing its status as a cult favorite.",Mainstream Friendly,The primary marketing challenge is differentiating this star-studded English-language drama in a crowded market by clearly defining its target audience and unique selling proposition beyond its acclaimed cast.
