title,year,letterboxd_rating,source_url,slug,letterboxd_url,box_office,budget,imdb_rating,genre,director,actors,plot,awards,runtime,country,language,is_underperformer,box_office_millions,budget_millions,roi,rating_differential,decade,decade_label,underperformance_category,key_insights,genre_pattern,marketing_assessment
"The Good, the Bad and the Ugly",1966,4.3,https://letterboxd.com/dave/list/official-top-250-narrative-feature-films/,the-good-the-bad-and-the-ugly,https://letterboxd.com/film/the-good-the-bad-and-the-ugly/,25100000,0,8.8,"Adventure, Drama, Western",Sergio Leone,"Clint Eastwood, Eli Wallach, Lee Van Cleef",A bounty-hunting scam joins two men in an uneasy alliance against a third in a race to find a fortune in gold buried in a remote cemetery.,2 wins & 5 nominations total,178 min,"Italy, Spain, West Germany, United States","Italian, English",True,25.1,0.0,,-4.5,1960,1960s,Niche Appeal,"Despite its initial commercial underperformance, ""The Good, the Bad and the Ugly"" is celebrated for its revolutionary direction, iconic score, and profound influence on the Western genre. Its artistic depth, moral complexity, and epic cinematography have earned it a revered status as a timeless classic. The film's cultural impact and enduring acclaim far surpass its original box office returns.",Prestige Picture,"The primary marketing challenge was overcoming the language barrier and cultural unfamiliarity, as the Italian-made Western with multilingual dialogue and a non-traditional structure risked alienating mainstream American audiences accustomed to straightforward Hollywood productions."
Sunset Boulevard,1950,4.3,https://letterboxd.com/dave/list/official-top-250-narrative-feature-films/,sunset-boulevard,https://letterboxd.com/film/sunset-boulevard/,299645,0,8.4,"Drama, Film-Noir",Billy Wilder,"William Holden, Gloria Swanson, Erich von Stroheim",A screenwriter develops a dangerous relationship with a faded film star determined to make a triumphant return.,Won 3 Oscars. 21 wins & 20 nominations total,110 min,United States,English,True,0.3,0.0,,-4.1,1950,1950s,Niche Appeal,"Sunset Boulevard is a masterful deconstruction of Hollywood's dark underbelly, blending sharp, cynical writing with iconic performances that critique the industry's cruel obsession with youth and fame. Its artistic audacity and profound cultural resonance have cemented it as a timeless classic, revered for its unflinching portrayal of delusion and decay behind the glamour.",Prestige Picture,"The primary marketing challenge is overcoming the film's dark, cynical portrayal of Hollywood itself, which may alienate mainstream audiences and industry insiders accustomed to more glamorous or uplifting narratives."
Interstellar,2014,4.3,https://letterboxd.com/dave/list/official-top-250-narrative-feature-films/,interstellar,https://letterboxd.com/film/interstellar/,203227580,0,8.7,"Adventure, Drama, Sci-Fi",Christopher Nolan,"Matthew McConaughey, Anne Hathaway, Jessica Chastain","When Earth becomes uninhabitable in the future, a farmer and ex-NASA pilot, Joseph Cooper, is tasked to pilot a spacecraft, along with a team of researchers, to find a new planet for humans.",Won 1 Oscar. 44 wins & 148 nominations total,169 min,"United States, United Kingdom, Canada",English,False,203.23,0.0,,-4.4,2010,2010s,N/A - Performed Well,Successful box office performance,N/A,N/A
The Passion of Joan of Arc,1928,4.3,https://letterboxd.com/dave/list/official-top-250-narrative-feature-films/,the-passion-of-joan-of-arc,https://letterboxd.com/film/the-passion-of-joan-of-arc/,21877,0,8.1,"Biography, Drama, History",Carl Theodor Dreyer,"Maria Falconetti, Eugene Silvain, André Berley","In 1431, Jeanne d'Arc is placed on trial on charges of heresy. The ecclesiastical jurists attempt to force Jeanne to recant her claims of holy visions.",4 wins & 1 nomination total,114 min,France,"None, French, Latin",True,0.02,0.0,,-3.8,1920,1920s,Niche Appeal,"Despite its commercial failure, ""The Passion of Joan of Arc"" is celebrated for its groundbreaking artistic vision, particularly Carl Theodor Dreyer’s intense close-ups and Maria Falconetti’s hauntingly raw performance, which convey profound spiritual anguish. Its innovative cinematography and emotional depth have secured its status as a cinematic masterpiece, influencing generations of filmmakers and earning enduring critical acclaim.",Prestige Picture,"The primary marketing challenge is the silent film format combined with its intense, dialogue-heavy intertitles in French and Latin, which would limit accessibility and broad appeal even among art house audiences in 1928."
The Battle of Algiers,1966,4.3,https://letterboxd.com/dave/list/official-top-250-narrative-feature-films/,the-battle-of-algiers,https://letterboxd.com/film/the-battle-of-algiers/,879794,0,8.1,"Drama, War",Gillo Pontecorvo,"Brahim Hadjadj, Jean Martin, Yacef Saadi","In the 1950s, fear and violence escalate as the people of Algiers fight for independence from the French government.",Nominated for 3 Oscars. 9 wins & 8 nominations total,121 min,"Italy, Algeria","Arabic, French, English, Spanish",True,0.88,0.0,,-3.8,1960,1960s,Niche Appeal,"Its raw, documentary-like realism and unflinching portrayal of insurgency and counter-insurgency offer a timeless, politically charged narrative that transcends its era. The film's innovative techniques and moral complexity have earned it enduring acclaim as a masterclass in guerrilla filmmaking and a profound study of conflict. Its influence on both cinema and political discourse far outweighs its initial box office performance.",Prestige Picture,"The primary marketing challenge is the film's multilingual nature and lack of recognizable stars, which complicates broad audience appeal and necessitates a targeted approach focusing on cinephiles and politically engaged viewers."
I Am Cuba,1964,4.3,https://letterboxd.com/dave/list/official-top-250-narrative-feature-films/,i-am-cuba,https://letterboxd.com/film/i-am-cuba/,168100,0,8.2,Drama,Mikhail Kalatozov,"Sergio Corrieri, Salvador Wood, José Gallardo",Four vignettes about the lives of the Cuban people set during the pre-revolutionary era.,2 wins & 1 nomination total,141 min,"Cuba, Soviet Union","Spanish, English",True,0.17,0.0,,-3.9,1960,1960s,Limited Release,"I Am Cuba is a cinematic marvel renowned for its revolutionary, gravity-defying long takes and breathtakingly innovative cinematography, which have influenced generations of filmmakers. Its profound artistic vision and technical audacity, coupled with its poignant portrayal of Cuban society, grant it a revered cult status that far outweighs its initial commercial obscurity.",Prestige Picture,"The primary marketing challenge is overcoming the language barrier and lengthy runtime to appeal to international audiences, as the film lacks globally recognized stars and its political context may limit broad commercial appeal."
Whiplash,2014,4.3,https://letterboxd.com/dave/list/official-top-250-narrative-feature-films/,whiplash,https://letterboxd.com/film/whiplash/,14003391,0,8.5,"Drama, Music",Damien Chazelle,"Miles Teller, J.K. Simmons, Melissa Benoist",A promising young drummer enrolls at a cut-throat music conservatory where his dreams of greatness are mentored by an instructor who will stop at nothing to realize a student's potential.,Won 3 Oscars. 99 wins & 144 nominations total,106 min,United States,English,True,14.0,0.0,,-4.2,2010,2010s,Niche Appeal,"Whiplash is a masterclass in tension and psychological intensity, using the pursuit of musical perfection to explore themes of ambition, abuse, and sacrifice. Its raw, visceral energy and powerhouse performances, particularly J.K. Simmons' Oscar-winning turn, create an unforgettable experience that resonates deeply with viewers. Despite its modest box office, its critical acclaim and lasting influence on both filmmakers and audiences cement its status as a modern classic.",Prestige Picture,"Limited star power at the time of release, with no major box office draws among the cast, likely posed the primary challenge in generating broad audience awareness and initial interest."
Fanny and Alexander,1982,4.3,https://letterboxd.com/dave/list/official-top-250-narrative-feature-films/,fanny-and-alexander,https://letterboxd.com/film/fanny-and-alexander/,6783304,0,8.1,Drama,Ingmar Bergman,"Bertil Guve, Pernilla Allwin, Kristina Adolphson","Two young Swedish children in the 1900s experience the many comedies and tragedies of their lively and affectionate theatrical family, the Ekdahls.",Won 4 Oscars. 25 wins & 13 nominations total,188 min,"Sweden, France, West Germany","Swedish, German, Yiddish, English, French",True,6.78,0.0,,-3.8,1980,1980s,Niche Appeal,"Despite its commercial underperformance, *Fanny and Alexander* is celebrated as Ingmar Bergman’s magnum opus, weaving a rich tapestry of familial drama, magical realism, and profound philosophical introspection. Its artistic depth, meticulous craftsmanship, and emotional resonance have secured its legacy as a masterpiece of world cinema, revered by critics and cinephiles alike.",Prestige Picture,"The primary marketing challenge is the film's lengthy runtime and subtitled multilingual dialogue, which may limit its appeal to mainstream audiences accustomed to shorter, English-language films."
Cinema Paradiso,1988,4.3,https://letterboxd.com/dave/list/official-top-250-narrative-feature-films/,cinema-paradiso,https://letterboxd.com/film/cinema-paradiso/,12397210,0,8.5,"Drama, Romance",Giuseppe Tornatore,"Philippe Noiret, Enzo Cannavale, Antonella Attili","Salvatore, a famous film director, returns to his hometown for the funeral of the local theater's film projectionist, Alfredo. He reminisces about his life as a young boy falling in love with cinema.",Won 1 Oscar. 25 wins & 33 nominations total,174 min,"Italy, France",Italian,True,12.4,0.0,,-4.2,1980,1980s,Niche Appeal,"""Cinema Paradiso"" is a deeply nostalgic love letter to cinema itself, weaving personal memory with universal themes of friendship and lost love through masterful storytelling and poignant performances. Its modest commercial performance contrasts with its profound cultural resonance, as it captures the bittersweet passage of time and the magic of film in a way that resonates across generations. The film’s emotional authenticity and artistic craftsmanship have cemented its status as a timeless classic, celebrated by cinephiles worldwide.",Prestige Picture,The primary marketing challenge is overcoming the language barrier and lengthy runtime to appeal to international audiences beyond art-house cinema enthusiasts.
Grave of the Fireflies,1988,4.3,https://letterboxd.com/dave/list/official-top-250-narrative-feature-films/,grave-of-the-fireflies,https://letterboxd.com/film/grave-of-the-fireflies/,516962,0,8.5,"Animation, Drama, War",Isao Takahata,"Tsutomu Tatsumi, Ayano Shiraishi, Akemi Yamaguchi",A young boy and his little sister struggle to survive in Japan during World War II.,3 wins total,88 min,Japan,Japanese,True,0.52,0.0,,-4.2,1980,1980s,Niche Appeal,"Grave of the Fireflies is a profoundly moving anti-war masterpiece, distinguished by its unflinching emotional honesty and poignant animation that humanizes the civilian cost of conflict. Its commercial underperformance stems from its devastating subject matter, yet its artistic integrity and cultural resonance have cemented its status as a timeless, if heartbreaking, cinematic achievement.",Prestige Picture,The primary marketing challenge is overcoming the language and cultural barrier to position this emotionally devastating Japanese animated film for international audiences beyond its core art-house demographic.
La Haine,1995,4.3,https://letterboxd.com/dave/list/official-top-250-narrative-feature-films/,la-haine,https://letterboxd.com/film/la-haine/,280859,0,8.1,"Crime, Drama",Mathieu Kassovitz,"Vincent Cassel, Hubert Koundé, Saïd Taghmaoui",24 hours in the lives of three young men in the French suburbs the day after a violent riot.,8 wins & 15 nominations total,98 min,France,"French, Yiddish",True,0.28,0.0,,-3.8,1990,1990s,Limited Release,"La Haine is a raw, stylistically bold exploration of urban tension and systemic alienation that remains culturally resonant for its unflinching social commentary. Its stark black-and-white cinematography and documentary-like realism amplify its visceral impact, making it a timeless critique of inequality. Despite its commercial obscurity, its artistic integrity and powerful narrative have secured its status as a seminal work in world cinema.",Prestige Picture,"The primary marketing challenge is the language barrier and niche subject matter, as a gritty French-language film about marginalized urban youth would struggle to attract mainstream international audiences beyond art-house circuits."
Yi Yi,2000,4.3,https://letterboxd.com/dave/list/official-top-250-narrative-feature-films/,yi-yi,https://letterboxd.com/film/yi-yi/,1136776,0,8.1,"Drama, Romance",Edward Yang,"Nien-Jen Wu, Elaine Jin, Issei Ogata",Each member of a middle-class Taipei family seeks to reconcile past and present relationships within their daily lives.,14 wins & 23 nominations total,173 min,"Taiwan, Japan","Mandarin, Min Nan, Hokkien, English, Japanese, French",True,1.14,0.0,,-3.8,2000,2000s,Niche Appeal,"Yi Yi masterfully captures the universal human experience through its intimate, multi-generational narrative, offering profound insights into love, loss, and self-reflection. Its meditative pacing and observational style, while artistically acclaimed, limited mainstream appeal but cemented its status as a poignant cinematic reflection on life’s quiet moments. The film’s enduring critical reverence highlights how deeply it resonates on an emotional and philosophical level, transcending cultural boundaries.",Prestige Picture,"The primary marketing challenge is its lengthy 173-minute runtime combined with a multilingual, dialogue-heavy narrative, which may deter mainstream audiences seeking more accessible entertainment."
Seven Samurai,1954,4.3,https://letterboxd.com/dave/list/official-top-250-narrative-feature-films/,seven-samurai,https://letterboxd.com/film/seven-samurai/,820278,0,8.6,"Action, Drama",Akira Kurosawa,"Toshirô Mifune, Takashi Shimura, Keiko Tsushima","Farmers from a village exploited by bandits hire a veteran samurai for protection, and he gathers six other samurai to join him.",Nominated for 2 Oscars. 5 wins & 9 nominations total,207 min,Japan,Japanese,True,0.82,0.0,,-4.3,1950,1950s,Niche Appeal,"Despite its initial commercial struggle, ""Seven Samurai"" is a masterclass in cinematic storytelling, pioneering complex character development and dynamic action choreography that influenced countless films. Its profound exploration of honor, class, and sacrifice transcends its era, cementing its legacy as a cornerstone of world cinema. The film’s artistic depth and emotional resonance continue to captivate audiences, far outweighing its original box office performance.",Prestige Picture,"The primary marketing challenge is overcoming the language barrier and lengthy runtime for Western audiences, who may be unfamiliar with Japanese cinema and resistant to subtitled films exceeding three hours."
Come and See,1985,4.3,https://letterboxd.com/dave/list/official-top-250-narrative-feature-films/,come-and-see,https://letterboxd.com/film/come-and-see/,71909,0,8.3,"Drama, Thriller, War",Elem Klimov,"Aleksey Kravchenko, Olga Mironova, Liubomiras Laucevicius","After finding an old rifle, a young boy joins the Soviet resistance movement against ruthless German forces and experiences the horrors of World War II.",3 wins total,142 min,Soviet Union,"Belarusian, Russian, German",True,0.07,0.0,,-4.0,1980,1980s,Niche Appeal,"Come and See is a profoundly harrowing and unflinching portrayal of war's psychological devastation, distinguished by its raw, visceral realism and haunting cinematography. Its commercial obscurity stems from its brutal, almost unwatchable intensity, which alienates mainstream audiences but cements its status as a cinematic masterpiece. The film's enduring impact lies in its uncompromising vision, forcing viewers to confront the true horror of conflict rather than glorify it.",Prestige Picture,"The primary marketing challenge is overcoming the intense, harrowing subject matter of a WWII atrocity film, which inherently limits its appeal and requires a carefully targeted approach to reach audiences willing to endure its emotional weight."
High and Low,1963,4.3,https://letterboxd.com/dave/list/official-top-250-narrative-feature-films/,high-and-low,https://letterboxd.com/film/high-and-low/,46808,0,8.4,"Crime, Drama, Mystery",Akira Kurosawa,"Toshirô Mifune, Yutaka Sada, Tatsuya Nakadai",An executive of a Yokohama shoe company becomes a victim of extortion when his chauffeur's son is kidnapped by mistake and held for ransom.,3 wins & 3 nominations total,143 min,Japan,Japanese,True,0.05,0.0,,-4.1,1960,1960s,Niche Appeal,"Despite its commercial underperformance, *High and Low* is celebrated for its masterful blend of taut social commentary and innovative split-narrative structure, showcasing Kurosawa’s genius in elevating the crime thriller into a profound moral and class critique. Its lasting influence on both Japanese and international cinema, along with its meticulous craftsmanship, has cemented its status as a timeless, deeply resonant work.",Prestige Picture,The primary marketing challenge is overcoming the language barrier and lengthy runtime to appeal to international audiences beyond dedicated art-house and cinephile circles.
Ikiru,1952,4.3,https://letterboxd.com/dave/list/official-top-250-narrative-feature-films/,ikiru,https://letterboxd.com/film/ikiru/,60239,0,8.3,Drama,Akira Kurosawa,"Takashi Shimura, Nobuo Kaneko, Shin'ichi Himori",A bureaucrat tries to find meaning in his life after he discovers he has terminal cancer.,Nominated for 1 BAFTA Award6 wins & 2 nominations total,143 min,Japan,"Japanese, Latin, English, French",True,0.06,0.0,,-4.0,1950,1950s,Niche Appeal,"Ikiru is a profound meditation on mortality and purpose, elevated by Akira Kurosawa’s masterful direction and Takashi Shimura’s deeply human performance. Its artistic merit lies in its emotional depth and philosophical resonance, which have earned it enduring critical acclaim and influenced countless filmmakers. Despite its commercial obscurity, it remains a timeless, culturally impactful work that continues to inspire reflection on life’s meaning.",Prestige Picture,"The primary marketing challenge is overcoming the language and cultural barriers for international audiences, compounded by the film's lengthy, contemplative runtime which may deter mainstream viewers."
The Shawshank Redemption,1994,4.3,https://letterboxd.com/dave/list/official-top-250-narrative-feature-films/,the-shawshank-redemption,https://letterboxd.com/film/the-shawshank-redemption/,28767189,0,9.3,Drama,Frank Darabont,"Tim Robbins, Morgan Freeman, Bob Gunton","A banker convicted of uxoricide forms a friendship over a quarter century with a hardened convict, while maintaining his innocence and trying to remain hopeful through simple compassion.",Nominated for 7 Oscars. 21 wins & 42 nominations total,142 min,United States,English,True,28.77,0.0,,-5.0,1990,1990s,Poor Marketing,"Despite its initial box office disappointment, *The Shawshank Redemption* endures as a masterpiece due to its profound exploration of hope, resilience, and the human spirit, anchored by powerful performances and masterful storytelling. Its slow-burn cultural impact grew through word-of-mouth and home media, resonating deeply with audiences worldwide and cementing its status as a timeless classic.",Prestige Picture,"The primary marketing challenge was the film's lengthy runtime and somber prison setting, which made it difficult to attract mainstream audiences seeking lighter entertainment."
City of God,2002,4.3,https://letterboxd.com/dave/list/official-top-250-narrative-feature-films/,city-of-god,https://letterboxd.com/film/city-of-god/,7564459,0,8.6,"Crime, Drama","Fernando Meirelles, Kátia Lund","Alexandre Rodrigues, Leandro Firmino, Matheus Nachtergaele","In the slums of Rio, two kids' paths diverge as one struggles to become a photographer and the other a kingpin.",Nominated for 4 Oscars. 75 wins & 50 nominations total,130 min,"Brazil, France",Portuguese,True,7.56,0.0,,-4.3,2000,2000s,Limited Release,"Despite its commercial underperformance, *City of God* is a cinematic triumph for its raw, kinetic storytelling and unflinching portrayal of life in Rio's favelas. Its visceral energy, authentic performances, and innovative direction have earned it enduring critical acclaim and a profound cultural impact, cementing its status as a modern classic.",Prestige Picture,"The primary marketing challenge is overcoming the language barrier and lack of star power, as a subtitled Brazilian film with unknown actors would struggle to attract mainstream international audiences."
The Godfather Part II,1974,4.3,https://letterboxd.com/dave/list/official-top-250-narrative-feature-films/,the-godfather-part-ii,https://letterboxd.com/film/the-godfather-part-ii/,47834595,0,9.0,"Crime, Drama",Francis Ford Coppola,"Al Pacino, Robert De Niro, Robert Duvall","The early life and career of Vito Corleone in 1920s New York City is portrayed, while his son, Michael, expands and tightens his grip on the family crime syndicate.",Won 6 Oscars. 17 wins & 21 nominations total,202 min,United States,"English, Italian, Spanish, Latin, Sicilian",True,47.83,0.0,,-4.7,1970,1970s,Niche Appeal,"Despite its commercial underperformance relative to its predecessor, *The Godfather Part II* is revered for its masterful dual narrative structure, deepening the saga's exploration of power, corruption, and the American dream. Its artistic ambition—showcasing parallel timelines and profound character studies—cemented its legacy as a benchmark in cinematic storytelling and a cornerstone of film culture.",Prestige Picture,"The primary marketing challenge is the film's substantial 202-minute runtime, which could deter casual viewers and limit the number of daily screenings, reducing overall accessibility and box office potential."
Schindler's List,1993,4.3,https://letterboxd.com/dave/list/official-top-250-narrative-feature-films/,schindlers-list,https://letterboxd.com/film/schindlers-list/,96898818,0,9.0,"Biography, Drama, History",Steven Spielberg,"Liam Neeson, Ralph Fiennes, Ben Kingsley","In German-occupied Poland during World War II, industrialist Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis.",Won 7 Oscars. 91 wins & 49 nominations total,195 min,United States,"English, Hebrew, German, Polish, Latin",False,96.9,0.0,,-4.7,1990,1990s,N/A - Performed Well,Successful box office performance,N/A,N/A
The Lord of the Rings: The Return of the King,2003,4.3,https://letterboxd.com/dave/list/official-top-250-narrative-feature-films/,the-lord-of-the-rings-the-return-of-the-king,https://letterboxd.com/film/the-lord-of-the-rings-the-return-of-the-king/,381878219,0,9.0,"Adventure, Drama, Fantasy",Peter Jackson,"Elijah Wood, Viggo Mortensen, Ian McKellen",Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.,Won 11 Oscars. 215 wins & 124 nominations total,201 min,"New Zealand, United States","English, Quenya, Old English, Sindarin",False,381.88,0.0,,-4.7,2000,2000s,N/A - Performed Well,Successful box office performance,N/A,N/A
